env,feature_mode,model_type,rf_rmse,N_AP,grid_m,T_used,feat_dim,causal,ap_subset,epochs,roll_windows
lecture_theatre,rss,both,2.337355852127075,3,0.6,60,20,True,"1,2,3",1500,"[5, 10, 20]"
lecture_theatre,rtt,both,1.9288502931594849,3,0.6,60,20,True,"1,2,3",1500,"[5, 10, 20]"
lecture_theatre,both,both,1.364141821861267,3,0.6,60,38,True,"1,2,3",1500,"[5, 10, 20]"
lecture_theatre,rss,both,2.54229474067688,4,0.6,60,20,True,"1,2,3,4",1500,"[5, 10, 20]"
lecture_theatre,rtt,both,0.435855895280838,4,0.6,60,20,True,"1,2,3,4",1500,"[5, 10, 20]"
lecture_theatre,both,both,0.48027291893959045,4,0.6,60,38,True,"1,2,3,4",1500,"[5, 10, 20]"
lecture_theatre,rss,both,2.170144557952881,5,0.6,60,20,True,"1,2,3,4,5",1500,"[5, 10, 20]"
lecture_theatre,rtt,both,0.44851577281951904,5,0.6,60,20,True,"1,2,3,4,5",1500,"[5, 10, 20]"
lecture_theatre,both,both,0.5008190870285034,5,0.6,60,38,True,"1,2,3,4,5",1500,"[5, 10, 20]"
office,rss,both,1.6116639375686646,3,0.6,60,20,True,"1,2,3",1500,"[5, 10, 20]"
office,rtt,both,0.7009378671646118,3,0.6,60,20,True,"1,2,3",1500,"[5, 10, 20]"
office,both,both,0.8289794921875,3,0.6,60,38,True,"1,2,3",1500,"[5, 10, 20]"
office,rss,both,1.416772484779358,4,0.6,60,20,True,"1,2,3,4",1500,"[5, 10, 20]"
office,rtt,both,0.7125517129898071,4,0.6,60,20,True,"1,2,3,4",1500,"[5, 10, 20]"
office,both,both,0.6874738335609436,4,0.6,60,38,True,"1,2,3,4",1500,"[5, 10, 20]"
office,rss,both,1.2032262086868286,5,0.6,60,20,True,"1,2,3,4,5",1500,"[5, 10, 20]"
office,rtt,both,0.6491827368736267,5,0.6,60,20,True,"1,2,3,4,5",1500,"[5, 10, 20]"
office,both,both,0.5598061084747314,5,0.6,60,38,True,"1,2,3,4,5",1500,"[5, 10, 20]"
corridor,rss,both,1.7489054203033447,3,0.6,60,20,True,"2,3,4",1500,"[5, 10, 20]"
corridor,rtt,both,0.5530582666397095,3,0.6,60,20,True,"2,3,4",1500,"[5, 10, 20]"
corridor,both,both,0.6310225129127502,3,0.6,60,38,True,"2,3,4",1500,"[5, 10, 20]"
corridor,rss,both,1.230004906654358,4,0.6,60,20,True,"2,3,4,5",1500,"[5, 10, 20]"
corridor,rtt,both,0.6634767651557922,4,0.6,60,20,True,"2,3,4,5",1500,"[5, 10, 20]"
corridor,both,both,0.5286687612533569,4,0.6,60,38,True,"2,3,4,5",1500,"[5, 10, 20]"
building,rss,both,9.693193435668945,3,0.6,120,20,True,"1,2,3",1500,"[5, 10, 20]"
building,rtt,both,9.686934471130371,3,0.6,120,20,True,"1,2,3",1500,"[5, 10, 20]"
building,both,both,9.716368675231934,3,0.6,120,38,True,"1,2,3",1500,"[5, 10, 20]"
building,rss,both,3.081632137298584,5,0.6,120,20,True,"1,2,3,4,5",1500,"[5, 10, 20]"
building,rtt,both,2.3926661014556885,5,0.6,120,20,True,"1,2,3,4,5",1500,"[5, 10, 20]"
building,both,both,2.3756422996520996,5,0.6,120,38,True,"1,2,3,4,5",1500,"[5, 10, 20]"
building,rss,both,2.258180618286133,7,0.6,120,20,True,"1,2,3,4,5,6,7",1500,"[5, 10, 20]"
building,rtt,both,1.6443305015563965,7,0.6,120,20,True,"1,2,3,4,5,6,7",1500,"[5, 10, 20]"
building,both,both,1.58638334274292,7,0.6,120,38,True,"1,2,3,4,5,6,7",1500,"[5, 10, 20]"
building,rss,both,1.6894125938415527,9,0.6,120,20,True,"1,2,3,4,5,6,7,8,9",1500,"[5, 10, 20]"
building,rtt,both,0.9512038230895996,9,0.6,120,20,True,"1,2,3,4,5,6,7,8,9",1500,"[5, 10, 20]"
building,both,both,0.8032523989677429,9,0.6,120,38,True,"1,2,3,4,5,6,7,8,9",1500,"[5, 10, 20]"
building,rss,both,1.5381487607955933,11,0.6,120,20,True,"1,2,3,4,5,6,7,8,9,10,11",1500,"[5, 10, 20]"
building,rtt,both,0.8252444863319397,11,0.6,120,20,True,"1,2,3,4,5,6,7,8,9,10,11",1500,"[5, 10, 20]"
building,both,both,0.7247517704963684,11,0.6,120,38,True,"1,2,3,4,5,6,7,8,9,10,11",1500,"[5, 10, 20]"
building,rss,both,1.5788570642471313,13,0.6,120,20,True,"1,2,3,4,5,6,7,8,9,10,11,12,13",1500,"[5, 10, 20]"
building,rtt,both,0.731151819229126,13,0.6,120,20,True,"1,2,3,4,5,6,7,8,9,10,11,12,13",1500,"[5, 10, 20]"
building,both,both,0.6602432727813721,13,0.6,120,38,True,"1,2,3,4,5,6,7,8,9,10,11,12,13",1500,"[5, 10, 20]"
