env,feature_mode,model_type,rf_rmse,N_AP,grid_m,T_used,feat_dim,causal,epochs,roll_windows
corridor,rss,gcn,2.558849334716797,4,0.6,60,5,True,1500,none
corridor,rtt,gcn,0.7600685358047485,4,0.6,60,5,True,1500,none
corridor,both,gcn,1.002902865409851,4,0.6,60,8,True,1500,none
corridor,rss,tcn,1.7309956550598145,4,0.6,60,5,True,1500,none
corridor,rtt,tcn,0.7947998046875,4,0.6,60,5,True,1500,none
corridor,both,tcn,0.9777582287788391,4,0.6,60,8,True,1500,none
corridor,rss,both,1.53044855594635,4,0.6,60,5,True,1500,none
corridor,rtt,both,0.6690962910652161,4,0.6,60,5,True,1500,none
corridor,both,both,0.8244641423225403,4,0.6,60,8,True,1500,none
office,rss,gcn,1.2984724044799805,5,0.6,60,5,True,1500,none
office,rtt,gcn,0.6640888452529907,5,0.6,60,5,True,1500,none
office,both,gcn,0.8933269381523132,5,0.6,60,8,True,1500,none
office,rss,tcn,1.21469247341156,5,0.6,60,5,True,1500,none
office,rtt,tcn,0.6471917629241943,5,0.6,60,5,True,1500,none
office,both,tcn,2.139589548110962,5,0.6,60,8,True,1500,none
office,rss,both,1.3712537288665771,5,0.6,60,5,True,1500,none
office,rtt,both,0.6980366110801697,5,0.6,60,5,True,1500,none
office,both,both,0.6351271271705627,5,0.6,60,8,True,1500,none
lecture_theatre,rss,gcn,1.9944134950637817,5,0.6,60,5,True,1500,none
lecture_theatre,rtt,gcn,0.46192073822021484,5,0.6,60,5,True,1500,none
lecture_theatre,both,gcn,0.6584398746490479,5,0.6,60,8,True,1500,none
lecture_theatre,rss,tcn,2.1511478424072266,5,0.6,60,5,True,1500,none
lecture_theatre,rtt,tcn,0.4181651473045349,5,0.6,60,5,True,1500,none
lecture_theatre,both,tcn,0.8023198843002319,5,0.6,60,8,True,1500,none
lecture_theatre,rss,both,2.5436930656433105,5,0.6,60,5,True,1500,none
lecture_theatre,rtt,both,0.36677196621894836,5,0.6,60,5,True,1500,none
lecture_theatre,both,both,0.5906139016151428,5,0.6,60,8,True,1500,none
building,rss,gcn,1.9869709014892578,13,0.6,120,5,True,1500,none
building,rtt,gcn,1.0253053903579712,13,0.6,120,5,True,1500,none
building,both,gcn,16.006267547607422,13,0.6,120,8,True,1500,none
building,rss,tcn,2.0276811122894287,13,0.6,120,5,True,1500,none
building,rtt,tcn,1.1143983602523804,13,0.6,120,5,True,1500,none
building,both,tcn,16.006267547607422,13,0.6,120,8,True,1500,none
building,rss,both,1.6690199375152588,13,0.6,120,5,True,1500,none
building,rtt,both,0.7966047525405884,13,0.6,120,5,True,1500,none
building,both,both,0.8457304239273071,13,0.6,120,8,True,1500,none
