env,feature_mode,model_type,rf_rmse,N_AP,grid_m,T_used,feat_dim,causal,cpu_ms_per_seq,cpu_ms_per_scan,params,macs,flops,epochs,roll_windows
corridor,rss,gcn,1.643161654472351,4,0.6,60,20,True,0.5329296737909317,0.008882161229848862,19221,3859560.0,7719120.0,1500,"[5, 10, 20]"
corridor,rtt,gcn,0.5856200456619263,4,0.6,60,20,True,0.5344129726290703,0.00890688287715117,19221,3859560.0,7719120.0,1500,"[5, 10, 20]"
corridor,both,gcn,0.7199398875236511,4,0.6,60,38,True,0.543693732470274,0.0090615622078379,20949,4274280.0,8548560.0,1500,"[5, 10, 20]"
corridor,rss,tcn,1.9525651931762695,4,0.6,60,20,True,0.8762241527438164,0.014603735879063606,80853,5789160.0,11578320.0,1500,"[5, 10, 20]"
corridor,rtt,tcn,0.7728923559188843,4,0.6,60,20,True,0.8953272923827171,0.014922121539711952,80853,5789160.0,11578320.0,1500,"[5, 10, 20]"
corridor,both,tcn,0.913358211517334,4,0.6,60,38,True,0.8903654478490353,0.014839424130817255,82581,6203880.0,12407760.0,1500,"[5, 10, 20]"
corridor,rss,both,1.230004906654358,4,0.6,60,20,True,1.2931644171476364,0.02155274028579394,90901,8200680.0,16401360.0,1500,"[5, 10, 20]"
corridor,rtt,both,0.6634767651557922,4,0.6,60,20,True,1.2965408712625504,0.021609014521042507,90901,8200680.0,16401360.0,1500,"[5, 10, 20]"
corridor,both,both,0.5286687612533569,4,0.6,60,38,True,1.3134255446493626,0.021890425744156044,93781,8891880.0,17783760.0,1500,"[5, 10, 20]"
office,rss,gcn,1.2414110898971558,5,0.6,60,20,True,0.5657401494681835,0.009429002491136393,19230,4758180.0,9516360.0,1500,"[5, 10, 20]"
office,rtt,gcn,0.6219141483306885,5,0.6,60,20,True,0.5657775141298771,0.009429625235497952,19230,4758180.0,9516360.0,1500,"[5, 10, 20]"
office,both,gcn,0.8026009202003479,5,0.6,60,38,True,0.5734528787434101,0.009557547979056835,20958,5276580.0,10553160.0,1500,"[5, 10, 20]"
office,rss,tcn,1.4355005025863647,5,0.6,60,20,True,0.8858810365200043,0.01476468394200007,80862,5915940.0,11831880.0,1500,"[5, 10, 20]"
office,rtt,tcn,0.703865110874176,5,0.6,60,20,True,0.884507168084383,0.014741786134739717,80862,5915940.0,11831880.0,1500,"[5, 10, 20]"
office,both,tcn,0.7887564897537231,5,0.6,60,38,True,0.8983394503593445,0.01497232417265574,82590,6434340.0,12868680.0,1500,"[5, 10, 20]"
office,rss,both,1.2032262086868286,5,0.6,60,20,True,1.3431577198207378,0.0223859619970123,90910,8930340.0,17860680.0,1500,"[5, 10, 20]"
office,rtt,both,0.6491827368736267,5,0.6,60,20,True,1.3382264785468578,0.02230377464244763,90910,8930340.0,17860680.0,1500,"[5, 10, 20]"
office,both,both,0.5598061084747314,5,0.6,60,38,True,1.3626662269234657,0.022711103782057762,93790,9794340.0,19588680.0,1500,"[5, 10, 20]"
lecture_theatre,rss,gcn,2.1410391330718994,5,0.6,60,20,True,0.5639267712831497,0.009398779521385828,19230,4758180.0,9516360.0,1500,"[5, 10, 20]"
lecture_theatre,rtt,gcn,0.42624208331108093,5,0.6,60,20,True,0.5657055042684078,0.009428425071140131,19230,4758180.0,9516360.0,1500,"[5, 10, 20]"
lecture_theatre,both,gcn,0.5709773302078247,5,0.6,60,38,True,0.5774679407477379,0.009624465679128965,20958,5276580.0,10553160.0,1500,"[5, 10, 20]"
lecture_theatre,rss,tcn,2.0751750469207764,5,0.6,60,20,True,0.8866017498075962,0.014776695830126604,80862,5915940.0,11831880.0,1500,"[5, 10, 20]"
lecture_theatre,rtt,tcn,0.4095424711704254,5,0.6,60,20,True,0.8866589888930321,0.014777649814883867,80862,5915940.0,11831880.0,1500,"[5, 10, 20]"
lecture_theatre,both,tcn,0.5129899978637695,5,0.6,60,38,True,0.8978274092078209,0.014963790153463682,82590,6434340.0,12868680.0,1500,"[5, 10, 20]"
lecture_theatre,rss,both,2.170144557952881,5,0.6,60,20,True,1.3381054066121578,0.022301756776869297,90910,8930340.0,17860680.0,1500,"[5, 10, 20]"
lecture_theatre,rtt,both,0.44851577281951904,5,0.6,60,20,True,1.3399834744632244,0.022333057907720406,90910,8930340.0,17860680.0,1500,"[5, 10, 20]"
lecture_theatre,both,both,0.5008190870285034,5,0.6,60,38,True,1.3692104443907738,0.02282017407317956,93790,9794340.0,19588680.0,1500,"[5, 10, 20]"
building,rss,gcn,1.615214467048645,13,0.6,120,20,True,1.5913242660462856,0.013261035550385714,19374,23894280.0,47788560.0,1500,"[5, 10, 20]"
building,rtt,gcn,1.0086407661437988,13,0.6,120,20,True,1.5891446731984615,0.013242872276653847,19374,23894280.0,47788560.0,1500,"[5, 10, 20]"
building,both,gcn,0.877214789390564,13,0.6,120,38,True,1.6435418277978897,0.013696181898315748,21102,26589960.0,53179920.0,1500,"[5, 10, 20]"
building,rss,tcn,1.8500860929489136,13,0.6,120,20,True,1.1552388779819012,0.009626990649849176,81006,13336200.0,26672400.0,1500,"[5, 10, 20]"
building,rtt,tcn,0.7568302154541016,13,0.6,120,20,True,1.1556425131857395,0.009630354276547829,81006,13336200.0,26672400.0,1500,"[5, 10, 20]"
building,both,tcn,1.017046570777893,13,0.6,120,38,True,1.2017879076302052,0.010014899230251709,82734,16031880.0,32063760.0,1500,"[5, 10, 20]"
building,rss,both,1.5788570642471313,13,0.6,120,20,True,2.4195252545177937,0.020162710454314947,91054,29011080.0,58022160.0,1500,"[5, 10, 20]"
building,rtt,both,0.731151819229126,13,0.6,120,20,True,2.4324743635952473,0.02027061969662706,91054,29011080.0,58022160.0,1500,"[5, 10, 20]"
building,both,both,0.6602432727813721,13,0.6,120,38,True,2.5374140962958336,0.021145117469131947,93934,33503880.0,67007760.0,1500,"[5, 10, 20]"
